s, adc_data[0..11], adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0], adc_start, adc_channel[0..2], adc_channel[2], adc_channel[1], adc_channel[0], lockin_update_pulse, 
115, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
116, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
117, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
118, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
119, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
120, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
121, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
122, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
123, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
124, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
125, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
126, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
127, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
128, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
129, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
130, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
131, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
132, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
133, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
134, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
135, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
136, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
137, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
138, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
139, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
140, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
141, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
142, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
143, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
144, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
145, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
146, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
147, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
148, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
149, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
150, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
151, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
152, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
153, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
154, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
155, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
156, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
157, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
158, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
159, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
160, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
161, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
162, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
163, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
164, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
165, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
166, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
167, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
168, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
169, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
170, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
171, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
172, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
173, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
174, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
175, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
176, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
177, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
178, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
179, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
180, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
181, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
182, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
183, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
184, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
185, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
186, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
187, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
188, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
189, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
190, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
191, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
192, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
193, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
194, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
195, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
196, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
197, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
198, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
199, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
200, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
201, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
202, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
203, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
204, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
205, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
206, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
207, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
208, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
209, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
210, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
211, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
212, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
213, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
214, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
215, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
216, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
217, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
218, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
219, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
220, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
221, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
222, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
223, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
224, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
225, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
226, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
227, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
228, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
229, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
230, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
231, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
232, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
233, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
234, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
235, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
236, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
237, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
238, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
239, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
240, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
241, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
242, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
243, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
244, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
245, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
246, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
247, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
248, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
249, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
250, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
251, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
252, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
253, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
254, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
255, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
256, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
257, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
258, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
259, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
260, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
261, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
262, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
263, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
264, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
265, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
266, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
267, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
268, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
269, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
270, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
271, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
272, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
273, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
274, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
275, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
276, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
277, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
278, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
279, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
280, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
281, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
282, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
283, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
284, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
285, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
286, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
287, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
288, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
289, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
290, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
291, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
292, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
293, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
294, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
295, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
296, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
297, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
298, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
299, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
300, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
301, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
302, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
303, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
304, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
305, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
306, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
307, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
308, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
309, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
310, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
