s, lockin_update_pulse, nco_cos[0..11], nco_cos[11], nco_cos[10], nco_cos[9], nco_cos[8], nco_cos[7], nco_cos[6], nco_cos[5], nco_cos[4], nco_cos[3], nco_cos[2], nco_cos[1], nco_cos[0], nco_sin[0..11], nco_sin[11], nco_sin[10], nco_sin[9], nco_sin[8], nco_sin[7], nco_sin[6], nco_sin[5], nco_sin[4], nco_sin[3], nco_sin[2], nco_sin[1], nco_sin[0], 
166, 0, 8FD, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
167, 1, B74, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
168, 0, 464, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
169, 1, 438, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 0, B2E, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
171, 1, FFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
172, 0, F98, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
173, 1, 496, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
174, 0, D4C, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
175, 1, C2A, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
176, 0, 3C3, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
177, 1, 53C, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
178, 0, 2D6, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
179, 1, E6C, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 0, 4D5, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
181, 1, B70, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
182, 0, 5D4, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
183, 1, C51, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
184, 0, 131, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
185, 1, F9D, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
186, 0, 954, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
187, 1, 54D, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
188, 0, 86D, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
189, 1, B55, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 0, 447, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
191, 1, 51A, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
192, 0, C17, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
193, 1, FFF, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
194, 0, F96, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
195, 1, 76F, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
196, 0, 00C, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
197, 1, 09E, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
198, 0, 87E, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
199, 1, 28C, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 0, 0FA, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
201, 1, B81, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
202, 0, 23E, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
203, 1, 9CF, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
204, 0, 298, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
205, 1, B5F, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
206, 0, D9D, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
207, 1, CC3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
208, 0, 633, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
209, 1, FF1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
210, 0, 6AC, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
211, 1, 842, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
212, 0, 528, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
213, 1, EDC, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
214, 0, 53A, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
215, 1, 890, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
216, 0, 2A1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
217, 1, 2C0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
218, 0, 6BF, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
219, 1, 6A6, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
220, 0, 063, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
221, 1, 52B, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
222, 0, ADE, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
223, 1, E16, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
224, 0, 9F7, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
225, 1, D34, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
226, 0, 371, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
227, 1, FCB, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
228, 0, AB8, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
229, 1, B69, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
230, 0, 068, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
231, 1, 3AD, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
232, 0, D6F, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
233, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
234, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
235, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
236, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
237, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
238, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
239, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
240, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
241, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
242, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
243, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
244, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
245, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
246, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
247, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
248, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
249, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
250, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
251, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
252, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
253, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
254, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
255, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
256, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
257, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
